Player_Name,Team_Initials,Matches_Played,Goals_Scored,Yellow_Cards,Red_Cards,Goals_Per_Match
ALBERTINI,ITA,7,0,3,0,0.0
ALBISHI,KSA,2,0,0,0,0.0
ALBORNOZ,CHI,4,0,0,0,0.0
ALBRIGHT,USA,3,0,0,0,0.0
ALCARAZ,PAR,5,1,1,0,0.2
ALCINDO,BRA,3,0,0,0,0.0
ALDAIR,BRA,18,0,3,0,0.0
ALDEAYEA,KSA,6,0,0,0,0.0
ALDERWEIRELD,BEL,5,0,3,0,0.0
ALEMAO,BRA,9,0,0,0,0.0
ALENICHEV,RUS,3,0,2,0,0.0
ALEX,JPN,7,0,1,0,0.0
ALEXANDERSSON,SWE,8,1,2,0,0.125
ALEXANDRE BAPTISTA,POR,6,0,0,0,0.0
ALEXIS,CHI,4,3,0,0,0.75
ALFARO W.,CRC,3,0,0,0,0.0
ALFONSO,ESP,3,0,0,0,0.0
ALFREDO,BRA,7,0,0,0,0.0
ALFREDO II,BRA,6,1,0,0,0.167
ALFREDO RAMOS,BRA,3,0,0,0,0.0
ALHASSAN,GHA,4,0,1,0,0.0
ALI JAMAL,IRQ,3,0,0,0,0.0
ALIOUMBOUKAR,CMR,3,0,0,0,0.0
ALIREZA,IRN,3,0,0,0,0.0
ALJABER,KSA,6,1,1,0,0.167
ALJAHANI,KSA,3,0,0,0,0.0
ALKHATHRAN,KSA,3,0,0,0,0.0
ALKORTA M.,ESP,12,0,0,0,0.0
ALLBACK,SWE,4,0,1,0,0.0
ALLB�CK,SWE,4,1,2,0,0.25
ALMEYDA,ARG,3,0,1,0,0.0
ALMONTASHARI,KSA,3,0,0,0,0.0
ALNOUDJI,CMR,3,0,0,0,0.0
ALOISI,AUS,4,1,1,0,0.25
ALONSO,ESP,14,1,2,0,0.071
ALOWAIRAN,KSA,3,0,0,0,0.0
ALPAY,TUR,7,0,2,1,0.0
ALSHAHRANI,KSA,2,0,0,0,0.0
ALSHALHOUB,KSA,3,0,0,0,0.0
ALSHLHOUB,KSA,3,0,0,0,0.0
ALTAIR,BRA,9,0,0,0,0.0
ALTHAGAFI,KSA,3,0,0,0,0.0
ALTIDORE,USA,8,0,1,0,0.0
ALVARENGA,PAR,4,0,0,0,0.0
ALVAREZ,ARG,7,0,0,0,0.0
ALVAREZ,HON,3,0,0,0,0.0
ALVARO,POR,3,0,0,0,0.0
ALVB�GE,SWE,4,0,0,0,0.0
ALWAKED,KSA,3,0,0,0,0.0
AMANCIO,ESP,3,1,0,0,0.333
AMARAL,BRA,7,0,0,0,0.0
AMARILDO,BRA,6,3,0,0,0.5
AMBROSE,NGA,4,0,0,0,0.0
AMDY FAYE,SEN,5,0,0,0,0.0
AMEEN,KSA,3,0,0,0,0.0
AMELIA,ITA,7,0,0,0,0.0
AMEOBI,NGA,4,0,0,0,0.0
AMERICO,POR,6,0,0,0,0.0
AMIRHOSSEIN,IRN,3,0,0,0,0.0
AMOAH,GHA,9,0,0,0,0.0
AMOKACHI,NGA,4,2,0,0,0.5
